outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
H02,Household members age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,2.200907,9.0665331,.80819857,-15.569172,19.970985,27.315329,.080574065,-.56997931,.73112744,1,pass
H02,Household members age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,1.7331793,5.9069304,.76920527,-9.8441916,13.31055,27.315329,.063450798,-.36039075,.48729232,1,pass
H03,Members living in another CCPP,3,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,32.541737,41.95636,.43797979,-49.691216,114.77469,43.380844,.75014067,-1.1454644,2.6457458,1,pass
H03,Members living in another CCPP,3,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,32.660965,25.193501,.1948362,-16.71739,82.039322,43.380844,.7528891,-.3853634,1.8911417,1,pass
H03,Members living in another CCPP,3,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,32.778587,14.885029,.027656991,3.604466,61.952709,43.380844,.75560045,.083088882,1.428112,1,pass
H04,Members with secondary education or higher,4,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,2.0008688,15.944047,.90013313,-29.248888,33.250626,39.002151,.051301494,-.74993014,.8525331,1,pass
H04,Members with secondary education or higher,4,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,3.426801,12.459991,.78329754,-20.994333,27.847937,39.002151,.087861843,-.53828657,.71401024,1,pass
H04,Members with secondary education or higher,4,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,4.833488,14.306009,.73546553,-23.205774,32.872749,39.002151,.12392875,-.59498703,.84284455,1,pass
H05,Employed household members,5,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,-4.5419703,10.552587,.66689521,-25.224659,16.140718,37.504063,-.12110609,-.67258471,.43037254,1,pass
H05,Employed household members,5,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,-10.935954,9.4305058,.24619706,-29.419407,7.5474987,37.504063,-.29159385,-.78443247,.20124482,1,pass
H05,Employed household members,5,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,-17.243641,9.6465921,.073850736,-36.150612,1.6633325,37.504063,-.4597806,-.96391189,.044350728,1,pass
H06,Members with health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,-10.060369,13.840486,.46729964,-37.187222,17.066484,29.096867,-.34575436,-1.278049,.58654028,1,pass
H06,Members with health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,-3.8593299,7.9969335,.62937891,-19.533031,11.814371,29.096867,-.13263731,-.67131042,.40603584,1,pass
H06,Members with health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,2.2580161,4.0473981,.57691729,-5.6747379,10.19077,29.096867,.077603407,-.19502917,.350236,1,pass
H07,Members reporting disability,7,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,.8536337,13.354858,.94903445,-25.321407,27.028675,34.032051,.025083227,-.74404591,.79421234,1,pass
H07,Members reporting disability,7,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,-1.7632862,8.8302946,.84172618,-19.070345,15.543773,34.032051,-.051812518,-.56036425,.45673922,1,pass
H07,Members reporting disability,7,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,-4.3448868,6.2406888,.48629162,-16.576412,7.8866386,34.032051,-.12767044,-.48708236,.2317415,1,pass
H08,Core household wellbeing proxy,8,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,13.877902,15.339534,.36561656,-16.187033,43.942837,20.716188,.66990614,-.78137118,2.1211834,1,pass
H08,Core household wellbeing proxy,8,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,11.751227,10.087321,.2440391,-8.019558,31.522013,20.716188,.56724852,-.38711551,1.5216125,1,pass
H08,Core household wellbeing proxy,8,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,9.6532555,7.5006309,.1980969,-5.0477104,24.354223,20.716188,.46597645,-.2436602,1.175613,1,pass
H01,Female household members,1,S02,Distance to corresponding district capital,5,secondary,P25,1.146943949585455,-.62822199,19.006674,7.2718601,.0089559937,4.7540903,33.259258,30.570131,.62174004,.15551424,1.0879658,0,underidentified
H01,Female household members,1,S02,Distance to corresponding district capital,5,secondary,P50,1.758562309362709,.067279391,10.798218,3.9834859,.0067132083,2.9907286,18.605707,30.570131,.35322773,.097831726,.60862374,0,underidentified
