outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I03,Lives in another CCPP,3,S04,Respondent age,7,secondary,P75,53,.68155026,40.120266,19.802864,.042766515,1.3073676,78.933167,49.802853,.80558169,.026250858,1.5849125,1,pass
I04,Secondary education or higher,4,S04,Respondent age,7,secondary,P25,23,-.88949144,8.2660217,11.442726,.47005954,-14.16131,30.693354,49.995693,.16533467,-.2832506,.61391991,1,pass
I04,Secondary education or higher,4,S04,Respondent age,7,secondary,P50,38,-.1039706,4.7225986,10.925017,.66554242,-16.690041,26.135239,49.995693,.094460107,-.33382958,.52274978,1,pass
I04,Secondary education or higher,4,S04,Respondent age,7,secondary,P75,53,.68155026,1.1791753,11.201461,.91616172,-20.775284,23.133635,49.995693,.023585537,-.41554147,.46271256,1,pass
I05,Employed in the reference week,5,S04,Respondent age,7,secondary,P25,23,-.88949144,-11.890224,6.9122491,.085402034,-25.437983,1.6575342,49.852848,-.23850642,-.51026136,.033248536,1,pass
I05,Employed in the reference week,5,S04,Respondent age,7,secondary,P50,38,-.1039706,-12.341631,6.9229569,.07463339,-25.910378,1.227116,49.852848,-.24756119,-.51973712,.024614763,1,pass
I05,Employed in the reference week,5,S04,Respondent age,7,secondary,P75,53,.68155026,-12.793036,8.1417818,.11611711,-28.750635,3.164562,49.852848,-.25661597,-.57670999,.06347806,1,pass
I06,Any health insurance,6,S04,Respondent age,7,secondary,P25,23,-.88949144,-6.8493052,8.9177208,.44245419,-24.327717,10.629107,32.019386,-.21391121,-.75978088,.3319585,1,pass
I06,Any health insurance,6,S04,Respondent age,7,secondary,P50,38,-.1039706,-4.6239223,7.5360856,.53949893,-19.394379,10.146534,32.019386,-.1444101,-.60570741,.31688723,1,pass
I06,Any health insurance,6,S04,Respondent age,7,secondary,P75,53,.68155026,-2.39854,6.629303,.71749496,-15.391735,10.594655,32.019386,-.074908994,-.48070052,.33088252,1,pass
I07,Reports any disability,7,S04,Respondent age,7,secondary,P25,23,-.88949144,-2.9817379,3.3725739,.37663499,-9.5918617,3.6283853,38.063755,-.078335367,-.25199464,.095323898,1,pass
I07,Reports any disability,7,S04,Respondent age,7,secondary,P50,38,-.1039706,-7.167995,5.0500493,.15578504,-17.06591,2.7299199,38.063755,-.18831551,-.4483507,.071719676,1,pass
