outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,gate_pass,gate_status
P06,Households with any unmet basic need,6,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,13.865412,30.336191,.64762902,-45.59243,73.323257,0,underidentified
P07,Labor-force participation,7,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-.3167522,24.063318,.98949754,-47.479992,46.846485,0,underidentified
P07,Labor-force participation,7,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,8.3498764,13.689292,.54189038,-18.480642,35.180397,0,underidentified
P07,Labor-force participation,7,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,16.170618,14.895605,.27765754,-13.024233,45.365467,0,underidentified
P08,Secondary education or higher,8,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-30.349222,24.569178,.21673526,-78.503929,17.805479,0,underidentified
P08,Secondary education or higher,8,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,-19.604748,14.987612,.19085179,-48.979927,9.7704325,0,underidentified
P08,Secondary education or higher,8,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,-9.9089632,12.7659,.43762758,-34.929665,15.11174,0,underidentified
P01,Log rostered population,1,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,.090748332,.50209224,.85657138,-.89333445,1.0748311,0,underidentified
P01,Log rostered population,1,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-.18164957,.65786612,.7824564,-1.4710435,1.1077443,0,underidentified
P01,Log rostered population,1,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,-.42909911,1.0240039,.67518651,-2.4361098,1.5779116,0,underidentified
P02,Log rostered households,2,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,.0067619756,.35952213,.98499411,-.69788843,.71141243,0,underidentified
P02,Log rostered households,2,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-.17826369,.55159891,.74656171,-1.2593776,.90285027,0,underidentified
P02,Log rostered households,2,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,-.34634325,.90668011,.70246834,-2.1234035,1.4307171,0,underidentified
P03,Residents age 15-29,3,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,-22.591146,11.859991,.056803495,-45.836304,.65400916,0,underidentified
P03,Residents age 15-29,3,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-7.5538077,12.940437,.55939752,-32.916599,17.808985,0,underidentified
P03,Residents age 15-29,3,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,6.1062918,21.752876,.77893138,-36.528564,48.741146,0,underidentified
P04,Residents in any social program,4,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,9.8000984,17.072491,.56594843,-23.661369,43.261566,0,underidentified
P04,Residents in any social program,4,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-9.9506578,26.809546,.71051759,-62.496403,42.595085,0,underidentified
P04,Residents in any social program,4,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,-27.892483,41.477188,.50127965,-109.18628,53.401314,0,underidentified
P05,Core wellbeing proxy,5,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,-6.8896527,8.9379826,.44080853,-24.407778,10.628472,0,underidentified
P05,Core wellbeing proxy,5,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-6.4417024,14.119545,.64822751,-34.115501,21.232098,0,underidentified
P05,Core wellbeing proxy,5,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,-6.0347791,22.83597,.79157466,-50.792458,38.722897,0,underidentified
P06,Households with any unmet basic need,6,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,6.8085766,14.235456,.63244879,-21.092403,34.709557,0,underidentified
P06,Households with any unmet basic need,6,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,31.340961,40.036457,.43373838,-47.129051,109.81097,0,underidentified
P06,Households with any unmet basic need,6,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,53.626476,67.323997,.42571637,-78.326134,185.57909,0,underidentified
P07,Labor-force participation,7,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,9.2635555,9.6494169,.33704922,-9.6489544,28.176065,0,underidentified
P07,Labor-force participation,7,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,22.69269,19.332819,.24047872,-15.198938,60.584316,0,underidentified
P07,Labor-force participation,7,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,34.891876,30.699835,.25572672,-25.278692,95.062447,0,underidentified
P08,Secondary education or higher,8,S03,Baseline CCPP economic development,secondary,P25,5.218245010914716,-.53804135,-13.843551,11.293529,.22027583,-35.978458,8.291358,0,underidentified
P08,Secondary education or higher,8,S03,Baseline CCPP economic development,secondary,P50,5.983642852094933,-.018560737,-11.718129,21.728394,.58967966,-54.304996,30.868738,0,underidentified
P08,Secondary education or higher,8,S03,Baseline CCPP economic development,secondary,P75,6.678939482608622,.45334172,-9.7873716,35.139736,.7806077,-78.659996,59.085251,0,underidentified
P01,Log rostered population,1,S05,CCPP altitude,secondary,P25,2995,-.22627363,3.42046,7.8842821,.66440988,-12.032449,18.873369,0,underidentified
P01,Log rostered population,1,S05,CCPP altitude,secondary,P50,3373,.22816096,-.12409091,1.7193365,.94246364,-3.4939287,3.2457469,0,underidentified
P01,Log rostered population,1,S05,CCPP altitude,secondary,P75,3689,.60805869,-3.0872605,7.6832118,.68781722,-18.14608,11.971559,0,underidentified
P02,Log rostered households,2,S05,CCPP altitude,secondary,P25,2995,-.22627363,2.9603577,6.4730201,.64742815,-9.7265282,15.647243,0,underidentified
P02,Log rostered households,2,S05,CCPP altitude,secondary,P50,3373,.22816096,-.098719716,1.4647928,.94626725,-2.9696608,2.7722213,0,underidentified
P02,Log rostered households,2,S05,CCPP altitude,secondary,P75,3689,.60805869,-2.6560438,6.2756186,.67212588,-14.95603,9.6439428,0,underidentified
P03,Residents age 15-29,3,S05,CCPP altitude,secondary,P25,2995,-.22627363,-56.038292,81.933014,.49400514,-216.62404,104.54746,0,underidentified
P03,Residents age 15-29,3,S05,CCPP altitude,secondary,P50,3373,.22816096,-17.960873,15.376915,.24279009,-48.099072,12.177327,0,underidentified
P03,Residents age 15-29,3,S05,CCPP altitude,secondary,P75,3689,.60805869,13.871044,72.857262,.84900624,-128.92656,156.66866,0,underidentified
P04,Residents in any social program,4,S05,CCPP altitude,secondary,P25,2995,-.22627363,-42.708923,101.45006,.67376626,-241.54738,156.12953,0,underidentified
