outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_tier,moderator_type,spec_id,estimator,estimand,h,n_left,n_right,min_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
P08,share_educ_secondaryplus_2013,Secondary education or higher,8,100,S02,Distance to corresponding district capital,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,42,22,22,44,1,15.485941,18.418869,.40047958,-20.61438,51.586262,15.727614,.98463374,-1.3107123,3.2799799,.75171953,2.2980578,1.4801646,1.4801646,.19646013,.51684076,0,underidentified,0,,.8443943170400766
P08,share_educ_secondaryplus_2013,Secondary education or higher,8,100,S02,Distance to corresponding district capital,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,42,22,22,44,1,21.191694,9.7422667,.029612694,2.0972037,40.286186,15.727614,1.3474195,.13334532,2.5614936,,,,,,,1,assignment_hte_supported,0,,.1740239858627319
P01,ln_sisfoh2013_population,Log rostered population,1,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-.030322978,.34725118,.93041486,-.71092278,.65027678,1.1692562,-.02593356,-.6080128,.55614567,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.72339594,0,underidentified,0,,
P01,ln_sisfoh2013_population,Log rostered population,1,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,-.52436584,.9825533,.59356517,-2.450135,1.4014032,1.1517433,-.45528013,-2.1273272,1.216767,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.89452273,0,underidentified,0,,.8443943170400766
P01,ln_sisfoh2013_population,Log rostered population,1,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,-.26955694,.7634654,.72403574,-1.7659216,1.2268077,1.1517433,-.23404256,-1.5332597,1.0651746,,,,,,,1,assignment_hte_supported,0,,.8868431880556303
P02,ln_sisfoh2013_households,Log rostered households,2,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,.00047817477,.34475657,.99889332,-.67523229,.67618865,1.0526391,.00045426277,-.64146608,.64237463,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.92078578,0,underidentified,0,,
P02,ln_sisfoh2013_households,Log rostered households,2,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,-.35617435,.87578583,.68423486,-2.0726831,1.3603344,1.0373689,-.34334394,-1.9980192,1.3113313,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.93803352,0,underidentified,0,,.8443943170400766
P02,ln_sisfoh2013_households,Log rostered households,2,1,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,.08705169,.59731156,.88412732,-1.0836575,1.2577609,1.0373689,.083915845,-1.0446211,1.2124528,,,,,,,1,assignment_hte_supported,0,,.9126475549513293
P03,share_age_15_29_2013,Residents age 15-29,3,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,18.083828,18.636826,.33188316,-18.44368,54.611336,13.763603,1.3138877,-1.3400328,3.9678082,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.019893298,0,underidentified,0,,
P03,share_age_15_29_2013,Residents age 15-29,3,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,28.946871,24.524969,.23788011,-19.121185,77.014923,13.53303,2.1389794,-1.4129272,5.690886,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.1146111,0,underidentified,0,,.8443943170400766
P03,share_age_15_29_2013,Residents age 15-29,3,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,39.837105,18.644979,.032629497,3.2936141,76.380592,13.53303,2.9436944,.24337596,5.6440129,,,,,,,1,assignment_hte_supported,0,,.1740239858627319
P04,share_any_program_2013,Residents in any social program,4,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-18.654922,14.979198,.21298894,-48.013611,10.703767,13.993115,-1.33315,-3.431231,.7649309,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.35845602,0,underidentified,0,,
P04,share_any_program_2013,Residents in any social program,4,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,-38.020199,36.211407,.29374069,-108.99325,32.952854,13.938599,-2.7276917,-7.8195271,2.3641438,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.30893382,0,underidentified,0,,.8443943170400766
P04,share_any_program_2013,Residents in any social program,4,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,-30.841444,24.631428,.210527,-79.118156,17.435266,13.938599,-2.2126646,-5.6761913,1.2508622,,,,,,,1,assignment_hte_supported,0,,.561405340830485
P05,wellbeing_core_proxy_2013,Core wellbeing proxy,5,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-3.1596553,16.27902,.84610254,-35.065948,28.746639,12.313388,-.25660324,-2.8477905,2.334584,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.71052116,0,underidentified,0,,
P05,wellbeing_core_proxy_2013,Core wellbeing proxy,5,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,.86230385,21.366917,.96780854,-41.016087,42.740692,12.264152,.070310928,-3.3443882,3.4850101,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.7659601,0,underidentified,0,,.9959324598312378
