outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,10.688414,12.917317,.40798295,-14.629063,36.00589,49.995628,.21378696,-.29260683,.72018075,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.37787041,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,8.5543251,13.633669,.53037012,-18.167175,35.275826,49.995693,.17110124,-.3633748,.70557731,1.1921533,4.1240911,4.090404,4.090404,.087539367,.47977683,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,8.5543251,13.85387,.53692591,-18.598763,35.707413,49.995693,.17110124,-.37200728,.71420974,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.46370181,0,underidentified,0,1,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,11.509387,78.169273,.88294518,-141.69957,164.71835,49.737114,.23140439,-2.8489707,3.3117793,.046461012,.14523512,.10377287,.10377287,.7395196,.29615012,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,8.5543251,12.667737,.49949512,-16.273985,33.382633,49.995693,.17110124,-.32550773,.66771019,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.31659284,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,18.307671,52.140327,.72549605,-83.88549,120.50083,49.917942,.36675528,-1.6804677,2.4139783,.16166481,.41917399,.32886466,.32886466,.57437903,.79549569,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,19.754421,45.584351,.6647535,-69.589264,109.09811,50.003792,.39505845,-1.3916798,2.1817968,.25944388,.62630004,.74916309,.62630004,.44463903,.29036704,0,underidentified,0,,
I04,secondaryplus_age14_2017,Secondary education or higher,4,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-1.0620351,13.772412,.93853348,-28.055466,25.931396,49.995693,-.021242531,-.56115764,.51867259,,,,,,,0,secondary_assignment_supported,0,1,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,5.3240423,9.8890085,.59031492,-14.05806,24.706144,49.898224,.10669803,-.28173468,.49513072,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.0068981885,0,underidentified,0,,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,8.1298676,9.7396708,.40387714,-10.959536,27.219271,49.852848,.16307728,-.2198377,.54599226,1.1921533,4.1240911,4.090404,4.090404,.087539367,.085343882,0,underidentified,0,,
