outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
P05,Secondary education or higher,5,S05,CCPP altitude,8,secondary,P50,3373,.2506651,2.8234212,6.9815388,.68590945,-10.860143,16.506985,13.052844,.21630698,-.83201355,1.2646276,0,weak_interaction_instruments
P05,Secondary education or higher,5,S05,CCPP altitude,8,secondary,P75,3677.5,.61507761,-3.9259298,7.9438715,.6211589,-19.495632,11.643773,13.052844,-.30077198,-1.4935927,.89204872,0,weak_interaction_instruments
P06,Employed residents,6,S05,CCPP altitude,8,secondary,P25,2962.5,-.2406037,-9.5048523,6.9081883,.16885814,-23.044653,4.0349474,15.086005,-.63004434,-1.5275517,.26746294,0,weak_interaction_instruments
P06,Employed residents,6,S05,CCPP altitude,8,secondary,P50,3373,.2506651,-16.534033,6.121768,.0069160671,-28.532476,-4.5355868,15.086005,-1.0959848,-1.8913209,-.30064863,0,weak_interaction_instruments
P06,Employed residents,6,S05,CCPP altitude,8,secondary,P75,3677.5,.61507761,-21.748125,8.6229639,.011665085,-38.648823,-4.8474264,15.086005,-1.4416093,-2.5618992,-.3213194,0,weak_interaction_instruments
P07,Residents with health insurance,7,S05,CCPP altitude,8,secondary,P25,2962.5,-.2406037,-1.0769371,2.9591329,.71590525,-6.8767309,4.7228565,6.531899,-.16487351,-1.052792,.72304493,0,weak_interaction_instruments
P07,Residents with health insurance,7,S05,CCPP altitude,8,secondary,P50,3373,.2506651,1.0125511,2.8079734,.71839958,-4.4909754,6.516078,6.531899,.15501635,-.68754518,.99757785,0,weak_interaction_instruments
P07,Residents with health insurance,7,S05,CCPP altitude,8,secondary,P75,3677.5,.61507761,2.5624881,3.8593686,.50671232,-5.0017352,10.126712,6.531899,.39230371,-.76573986,1.5503472,0,weak_interaction_instruments
P08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P25,2962.5,-.2406037,9.0002632,5.2446437,.086146183,-1.2790496,19.279575,10.011781,.89896727,-.12775446,1.9256891,0,weak_interaction_instruments
P08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P50,3373,.2506651,-.24309346,4.75318,.95921129,-9.5591545,9.0729675,10.011781,-.024280742,-.95479071,.9062292,0,weak_interaction_instruments
P08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P75,3677.5,.61507761,-7.0996151,5.6914301,.21224281,-18.254614,4.0553832,10.011781,-.70912611,-1.8233134,.40506113,0,weak_interaction_instruments
