analysis_id,wave,level,outcome_id,outcome_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,spec_id,estimand_label,paper_role,analysis_status,reportable_late,estimator,estimand,sample_rule,weighting,vce,predictor_var,source_result_file,supporting_specs,multiplicity_family,denominator,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
M17I_I05,2017,individual,I05,employed_age14_2017,Employed in the reference week,labor,primary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,primary_2017_individual,Linked persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,-13.008684,-12.975211,9.050066,.15165374,-30.713015,4.7625918,46.080006,49.852848,-.26027021,-.61607343,.095532998,.8381294,.9636364,.21509227,20.07136,,,,0,1,.36041909
M17I_M01,2017,individual,M01,internet_2017,Household has internet,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2017_individual,Linked persons with a valid current-household internet response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,82062,6582,2823,41,23,64,3.0412033,3.7721391,3.5949929,.29405117,-3.2739172,10.818195,4.0250368,19.65608,.19190699,-.16656004,.55037403,.84959763,.98690873,.21447773,21.173349,,,,0,.58810234,.58810234
M17I_M02,2017,individual,M02,wellbeing_connectivity_2017,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2017_individual,Linked persons with valid phone internet and cable responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,82062,6582,2823,41,23,64,-.12405314,.1890502,6.9569106,.9783206,-13.446243,13.824344,24.874128,21.302553,.0088745328,-.63120341,.64895248,.84959763,.98690873,.21447773,21.173349,,,,0,.9783206,.9783206
M17I_S20,2017,individual,S20,labor_force_age14_2017,In the labor force,labor,secondary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_2017_individual,Linked persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,68845,5414,2282,41,23,64,-10.3971,-8.1246986,8.2060604,.3221325,-24.208281,7.9588842,50.214931,50.004158,-.16248046,-.48412538,.15916446,.84959763,.98690873,.21447773,21.173349,,,,0,.644265,.46299651
M17I_S21,2017,individual,S21,unemployed_laborforce_2017,Unemployed,labor,secondary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_2017_individual,Linked persons age 14 or older in the labor force,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,34713,2673,1065,41,23,64,5.4325309,3.9667804,5.4049101,.46299651,-6.6266489,14.560209,5.2972484,22.402048,.17707223,-.29580548,.64994997,.84959763,.98690873,.21447773,21.173349,,,,0,.644265,.46299651
M17I_E01,2017,individual,E01,moved_or_not_linked_sens_2017,Extreme-case non-linkage coding endpoint: moved or not linked,migration,exploratory,selection_sensitivity,extreme_case_endpoint_2017,treat_16,common_h_fuzzy,extreme_case_endpoint,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_selection_2017_individual,All source-cohort people under the legacy non-linkage sensitivity rule,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,110940,8966,4078,42,23,65,16.396132,16.099783,16.3771,.32557458,-15.998743,48.198307,50.391361,50.001255,.32198757,-.31996682,.96394193,.85747999,.99320281,.2101917,22.327738,,,,0,.65114915,.33834454
M17I_E02,2017,individual,E02,moved_or_not_linked_zero_2017,Extreme-case non-linkage coding endpoint: unlinked coded zero,migration,exploratory,selection_sensitivity,extreme_case_endpoint_2017,treat_16,common_h_fuzzy,extreme_case_endpoint,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_selection_2017_individual,All source-cohort people under the complementary non-linkage sensitivity rule,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,108752,8293,4046,42,23,65,7.6075954,7.8352871,8.183569,.33834454,-8.2042131,23.874788,27.372396,44.589588,.17572011,-.18399394,.53543413,.85747999,.99320281,.2101917,22.327738,,,,0,.65114915,.33834454
M17I_I03,2017,individual,I03,moved_ccpp_2013_2017,Lives in another CCPP,migration,primary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,primary_2017_individual,Linked persons age 14 or older with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,43.666485,45.619968,23.477537,.052000135,-.39515874,91.635101,45.489193,49.802853,.91601115,-.0079344595,1.8399568,.8381294,.9636364,.21509227,20.07136,,,,0,.41600108,.36041909
M17I_S11,2017,individual,S11,moved_district_2013_2017,Lives in another district,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_individual,Linked persons with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,83717,6325,2864,40,22,62,13.388093,14.066518,15.309304,.35818896,-15.939167,44.072201,24.658573,43.105751,.32632577,-.36976892,1.0224204,.83409709,.95667696,.21526,19.751678,,,,0,1,.56042635
M17I_S12,2017,individual,S12,moved_province_2013_2017,Lives in another province,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_individual,Linked persons with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,83717,6325,2864,40,22,62,9.7988691,9.6155901,14.464749,.50620389,-18.734798,37.965977,16.710094,37.309547,.25772464,-.50214487,1.0175942,.83409709,.95667696,.21526,19.751678,,,,0,1,.56042635
M17I_S13,2017,individual,S13,moved_department_2013_2017,Lives in another department,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_individual,Linked persons with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,83717,6325,2864,40,22,62,7.998239,8.0906649,13.896511,.56042635,-19.145996,35.327328,13.887794,34.584644,.23393808,-.55359823,1.0214744,.83409709,.95667696,.21526,19.751678,,,,0,1,.56042635
M17I_S14,2017,individual,S14,moved_district_2012_2017,Lived in another district five years earlier,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_individual,Linked persons age five or older with a valid retrospective residence response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,85519,6953,2877,41,23,64,7.3906326,7.0134802,6.9885435,.31558678,-6.6838136,20.710773,10.503572,30.662149,.22873414,-.21798256,.6754508,.84959763,.98690873,.21447773,21.173349,,,,0,1,.56042635
M17I_S39,2017,individual,S39,household_member_abroad_2017,Household has a member abroad,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_individual,Linked persons with a valid current-household emigration response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,82062,6582,2823,41,23,64,6.2855134,6.2863941,6.5086174,.33411571,-6.4702621,19.043049,3.2643945,17.771639,.35373178,-.36407793,1.0715415,.84959763,.98690873,.21447773,21.173349,,,,0,1,.56042635
