analysis_id,wave,level,outcome_id,outcome_var,predictor_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,source_result_file,canonical_spec,supporting_specs,multiplicity_family,denominator,estimand_label,paper_role,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh,analysis_status
M13I_S43,2013,individual,S43,worker_unpaid_family_2013,,Unpaid family worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,5.7877507,7.3099256,4.3342876,.091692902,-1.1851223,15.804974,,,,,0,.69166809,.36677161,estimated
M13I_S43,2013,individual,S43,worker_unpaid_family_2013,,Unpaid family worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S44,2013,individual,S44,home_duties_2013,,Engaged in home duties,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-1.158196,-2.8206673,7.6383476,.71192116,-17.791553,12.150219,,,,,0,1,.8136242,estimated
M13I_S44,2013,individual,S44,home_duties_2013,,Engaged in home duties,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S45,2013,individual,S45,student_age14_2013,,Student,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-6.2379608,-7.4387889,4.3390489,.086458512,-15.943169,1.0655904,,,,,0,.69166809,.36677161,estimated
M13I_S45,2013,individual,S45,student_age14_2013,,Student,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M17C_M01,2017,ccpp,M01,cpv2017_share_internet,,Residents exposed to household internet,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,rd_2017_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Linked people with a valid destination-household internet response,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,424,41,23,,,44,2.5837991,3.6223915,2.7747092,.19172157,-1.8159384,9.0607214,,,,,0,.38344315,.38344315,estimated
M17C_M01,2017,ccpp,M01,cpv2017_share_internet,,Residents exposed to household internet,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,rd_2017_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Linked people with a valid destination-household internet response,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M17C_M02,2017,ccpp,M02,wellbeing_connectivity_2017,,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,rd_2017_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Source-household means with valid phone internet and cable responses,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,424,41,23,,,44,.45943734,.74415708,5.9853268,.90105379,-10.986868,12.475183,,,,,0,.90105379,.90105379,estimated
M17C_M02,2017,ccpp,M02,wellbeing_connectivity_2017,,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,rd_2017_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Source-household means with valid phone internet and cable responses,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M17C_P03,2017,ccpp,P03,cpv2017_share_moved_ccpp,,Residents living in another CCPP,migration,primary,total_migration_effect,migration_outcome_2017,treat_16,rd_2017_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2017_ccpp,Linked source-cohort people with valid source and destination CCPP codes,fuzzy_late_total_migration,main,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,388,38,21,,,42,8.7500591,9.8384323,9.9760313,.32403153,-9.7142305,29.391096,,,,,0,1,.64806306,estimated
