grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,candidate_n
broad_atlas,dept_pair_08_11,Departments: JUNIN + PASCO,atlas_department_pair,0,2,1119
broad_atlas,dept_pair_08_12,Departments: JUNIN + PIURA,atlas_department_pair,0,2,834
broad_atlas,dept_pair_08_13,Departments: JUNIN + PUNO,atlas_department_pair,0,2,984
broad_atlas,dept_pair_08_14,Departments: JUNIN + SAN MARTIN,atlas_department_pair,0,2,1315
broad_atlas,dept_pair_08_15,Departments: JUNIN + UCAYALI,atlas_department_pair,0,2,968
broad_atlas,dept_pair_09_10,Departments: LA LIBERTAD + LIMA,atlas_department_pair,0,2,70
broad_atlas,dept_pair_09_11,Departments: LA LIBERTAD + PASCO,atlas_department_pair,0,2,379
broad_atlas,dept_pair_09_12,Departments: LA LIBERTAD + PIURA,atlas_department_pair,0,2,94
broad_atlas,dept_pair_09_13,Departments: LA LIBERTAD + PUNO,atlas_department_pair,0,2,244
broad_atlas,dept_pair_09_14,Departments: LA LIBERTAD + SAN MARTIN,atlas_department_pair,0,2,575
broad_atlas,dept_pair_09_15,Departments: LA LIBERTAD + UCAYALI,atlas_department_pair,0,2,228
broad_atlas,dept_pair_10_11,Departments: LIMA + PASCO,atlas_department_pair,0,2,413
broad_atlas,dept_pair_10_12,Departments: LIMA + PIURA,atlas_department_pair,0,2,128
broad_atlas,dept_pair_10_13,Departments: LIMA + PUNO,atlas_department_pair,0,2,278
broad_atlas,dept_pair_10_14,Departments: LIMA + SAN MARTIN,atlas_department_pair,0,2,609
broad_atlas,dept_pair_10_15,Departments: LIMA + UCAYALI,atlas_department_pair,0,2,262
broad_atlas,dept_pair_11_12,Departments: PASCO + PIURA,atlas_department_pair,0,2,437
broad_atlas,dept_pair_11_13,Departments: PASCO + PUNO,atlas_department_pair,0,2,587
broad_atlas,dept_pair_11_14,Departments: PASCO + SAN MARTIN,atlas_department_pair,0,2,918
broad_atlas,dept_pair_11_15,Departments: PASCO + UCAYALI,atlas_department_pair,0,2,571
broad_atlas,dept_pair_12_13,Departments: PIURA + PUNO,atlas_department_pair,0,2,302
broad_atlas,dept_pair_12_14,Departments: PIURA + SAN MARTIN,atlas_department_pair,0,2,633
broad_atlas,dept_pair_12_15,Departments: PIURA + UCAYALI,atlas_department_pair,0,2,286
broad_atlas,dept_pair_13_14,Departments: PUNO + SAN MARTIN,atlas_department_pair,0,2,783
broad_atlas,dept_pair_13_15,Departments: PUNO + UCAYALI,atlas_department_pair,0,2,436
broad_atlas,dept_pair_14_15,Departments: SAN MARTIN + UCAYALI,atlas_department_pair,0,2,767
broad_atlas,leaveout_dept_01,Leave out: ANCASH,atlas_leave_one_out,0,14,5647
broad_atlas,leaveout_dept_02,Leave out: APURIMAC,atlas_leave_one_out,0,14,5226
broad_atlas,leaveout_dept_03,Leave out: AYACUCHO,atlas_leave_one_out,0,14,4324
