candidate_id,candidate_label,cutoff,outcome_var,outcome_label,eligible_n,analysis_n,missing_n,n_left,n_right,unique_left,unique_right,clusters_left,clusters_right,support_ok,estimation_rc,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,effective_left,effective_right
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,ln_population_2007,Log 2007 population,546,487,59,223,264,193,240,103,96,1,0,.1546373862483854,.2323602802507878,.4050049620456636,.5661558993528051,-.5614348589187242,1.0261554194203,81,47
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,share_female_2007,2007 female population share,546,487,59,223,264,193,240,103,96,1,0,-.0294114519714963,-.0386339203818942,.0265044375708904,.1449398813262396,-.0905816634513296,.0133138226875413,72,43
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,share_indigenous_language_2007,2007 indigenous-language share,546,487,59,223,264,193,240,103,96,1,0,-.1319564103529185,-.1599255537082576,.1814429667518326,.3780962202906935,-.5155472337899478,.1956961263734327,108,61
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,share_literate_2007,2007 literacy share,546,487,59,223,264,193,240,103,96,1,0,.0106217057441549,.028230478240133,.0413360054600485,.4946376227249455,-.0527866037263131,.1092475602065792,105,59
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,urban_2007,Urban community in 2007,546,487,59,223,264,193,240,103,96,1,0,-.0682724361990605,-.0726923142777941,.2090337627808052,.7280249847818576,-.4823909608810613,.3370063323254731,117,61
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,wellbeing_core_2007,2007 ecological wellbeing score,546,484,62,223,261,193,237,103,96,1,0,.0651066326074174,.0762930038450798,.0589779741990177,.1958089172338239,-.0393017014661275,.191887709156287,99,57
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,altitude_m,Altitude in meters,609,533,76,311,222,162,189,121,104,1,0,-1530.75123292024,-1817.224044305597,650.6100752882464,.0052204299365267,-3092.396359849452,-542.0517287617408,60,32
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,ln1p_dist_dist_capital,Log distance to district capital,609,534,75,312,222,162,189,122,104,1,0,-.0207155175480711,-.0586813433160569,.4650065121752838,.8995778304223941,-.970077359756199,.8527146731240852,94,44
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,ln_population_2007,Log 2007 population,609,543,66,315,228,162,194,122,105,1,0,.7623203123835642,.901772418425268,.6159460309493811,.1431817813265584,-.305459618655912,2.109004455506448,79,39
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,share_female_2007,2007 female population share,609,543,66,315,228,162,194,122,105,1,0,-.0158582404161949,-.0272092806504116,.0284346812240195,.3386153490686861,-.0829402317613671,.0285216704605438,63,32
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,share_indigenous_language_2007,2007 indigenous-language share,609,543,66,315,228,162,194,122,105,1,0,-.1646326856126518,-.2073336903669429,.1993046657203109,.2982074266600512,-.5979636571295468,.183296276395661,85,41
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,share_literate_2007,2007 literacy share,609,543,66,315,228,162,194,122,105,1,0,.02253667173052,.0294421412303874,.0656896704773329,.6540085230296815,-.0993072470614892,.1581915295222639,102,47
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,urban_2007,Urban community in 2007,609,543,66,315,228,162,194,122,105,1,0,.2223228935002434,.2895774371952948,.1849412382049999,.1173999460476434,-.072900728942748,.6520556033333376,79,39
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,bc,wellbeing_core_2007,2007 ecological wellbeing score,609,542,67,314,228,162,194,121,105,1,0,.0406966938571625,.0529960719995313,.0781293202192088,.4975737574824537,-.100134581766715,.2061267257657776,78,39
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,altitude_m,Altitude in meters,689,607,82,296,311,51,162,121,120,1,0,801.9499811781097,1022.900215154436,663.0027801591459,.1228721618034688,-276.5613556074172,2322.361785916288,83,66
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,ln1p_dist_dist_capital,Log distance to district capital,689,608,81,296,312,51,162,121,121,1,0,.5724881047588015,.7205223629231403,.4764359473364461,.1304531420925934,-.2132749347965157,1.654319660642796,48,34
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,ln_population_2007,Log 2007 population,689,616,73,301,315,51,162,122,121,1,0,-.0683822658587694,-.1199807138263385,.423977292592297,.7771856240166801,-.9509609375700411,.7109995099173642,74,59
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,share_female_2007,2007 female population share,689,616,73,301,315,51,162,122,121,1,0,.0110824386895353,.0086089115498071,.0219823935936609,.6953334084606116,-.0344757881877523,.0516936112873666,70,52
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,share_indigenous_language_2007,2007 indigenous-language share,689,616,73,301,315,51,162,122,121,1,0,.2929234428005174,.3616914858585032,.2153863015423522,.0930996780095191,-.0604579079277909,.7838408796447973,70,54
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,share_literate_2007,2007 literacy share,689,616,73,301,315,51,162,122,121,1,0,-.1083370792921452,-.1279915845641553,.0608302266091763,.0353715818944856,-.2472166378895508,-.0087665312387598,53,40
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,urban_2007,Urban community in 2007,689,616,73,301,315,51,162,122,121,1,0,-.2607565455207501,-.3176504213195941,.1283318741187421,.0133151801297847,-.5691762726608565,-.0661245699783318,61,43
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,cd,wellbeing_core_2007,2007 ecological wellbeing score,689,614,75,300,314,51,162,122,120,1,0,-.0743238544955674,-.0922576309352684,.074181225479947,.2136177347574096,-.2376501612050095,.0531348993344727,67,52
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,altitude_m,Altitude in meters,563,479,84,208,271,11,50,89,118,1,0,-2230.609934640583,-1494.504789101193,3158.81581048843,.6361262468853534,-7685.670011454215,4696.660433251829,26,19
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,ln1p_dist_dist_capital,Log distance to district capital,563,479,84,208,271,11,50,89,118,1,1,,,,,,,,
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,ln_population_2007,Log 2007 population,563,485,78,210,275,11,50,91,119,1,0,-1.653409085676493,-2.3049971697301,1.148528118405808,.0447588200088475,-4.556070917037039,-.0539234224231615,31,31
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,share_female_2007,2007 female population share,563,485,78,210,275,11,50,91,119,1,0,.0175692754890195,.0282730165969349,.0343689734773103,.4107173086106067,-.0390889336042057,.0956349667980755,61,52
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,share_indigenous_language_2007,2007 indigenous-language share,563,485,78,210,275,11,50,91,119,1,0,.2407694789237942,.4237050482987819,.4151273220436489,.3074141867244227,-.3899295519053303,1.237339648502894,58,31
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,share_literate_2007,2007 literacy share,563,485,78,210,275,11,50,91,119,1,0,-.0211313021138544,-.0369216013276583,.1554310807100221,.8122353841683657,-.3415609215974399,.2677177189421233,31,31
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,urban_2007,Urban community in 2007,563,485,78,210,275,11,50,91,119,1,1,,,,,,,,
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,de,wellbeing_core_2007,2007 ecological wellbeing score,563,484,79,210,274,11,50,91,119,1,0,0,.25,,,,,24,17
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,altitude_m,Altitude in meters,1162,936,226,468,468,349,416,183,165,1,0,-633.33272155955,-721.5522629027992,562.3159194259782,.1994291947232339,-1823.671212911243,380.5666871056449,138,87
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,ln1p_dist_dist_capital,Log distance to district capital,1162,937,225,468,469,349,417,183,165,1,0,-.1452455011386404,-.1646643531253709,.6621372296874871,.8036035692262846,-1.462429476135971,1.133100769885229,125,74
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,ln_population_2007,Log 2007 population,1162,998,164,494,504,362,450,185,167,1,0,.2285388448766632,.2120433168502132,.3100295788225683,.4940096186374783,-.3956034917841423,.8196901254845687,148,92
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,share_female_2007,2007 female population share,1162,998,164,494,504,362,450,185,167,1,0,-.0309425489078247,-.0378585820677159,.0247122720579054,.1255286132630879,-.086293745277366,.0105765811419343,109,68
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,share_indigenous_language_2007,2007 indigenous-language share,1162,998,164,494,504,362,450,185,167,1,0,-.127904678426604,-.1081853826954635,.1530024673418813,.4795151471973342,-.4080647082313166,.1916939428403896,143,92
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,share_literate_2007,2007 literacy share,1162,998,164,494,504,362,450,185,167,1,0,.028442296315647,.036297612117496,.0500051462762086,.467913851951376,-.06171067362553,.1343058978605221,107,66
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,urban_2007,Urban community in 2007,1162,998,164,494,504,362,450,185,167,1,0,.0210172061882069,.0310125499378377,.1446241038140208,.8302074177289944,-.2524454848340248,.3144705847097002,119,72
