grid_scope,cutoff,treatment_year,candidate_cells,support_cells,successful_cells,positive_ci_cells,strong_positive_cells,median_tau,max_tau,max_robust_wald,max_effective_n
broad_atlas,bc,2016,230,115,115,25,9,.1543330208780226,1.339198239067216,56.21504691237615,852
broad_atlas,bc,2017,230,115,115,46,13,.3423105726351471,2.283557812299234,132.2675620252764,708
broad_atlas,bc,2018,230,115,115,43,0,.3086586992028438,1.689693330558887,18.59666969853863,826
broad_atlas,bc,2019,230,115,115,27,0,.1928047019335997,1.047333537035364,32.940891757599,502
broad_atlas,bc,2020,230,115,115,14,0,.0662717522226838,.8132108316868101,24.86372761412587,780
broad_atlas,bc,2021,230,115,115,12,0,.0516059325722151,.5921906451497054,26.00930112030779,762
broad_atlas,bc,2022,230,115,115,0,0,.0178967745228142,.6260413179487891,19.74704954919746,702
broad_atlas,bc,2023,230,115,115,0,0,.0401599695359545,.4859080276772545,45.44767887580136,667
broad_atlas,cd,2007,230,45,45,1,0,.0537517913219207,.134414012248004,3.998322164103802,768
broad_atlas,cd,2008,230,105,105,1,0,-.0365741270344551,1.280334811647837,16.2323446553454,489
broad_atlas,cd,2009,230,113,113,0,0,-.039776672115047,1.033979665765404,7.301673024319057,469
broad_atlas,cd,2010,230,115,115,8,7,-.0013678375939287,1.401015752013117,55.26839396160899,532
broad_atlas,cd,2011,230,118,118,8,7,.0093374715029965,1.401015752013117,55.26839396160899,517
broad_atlas,cd,2012,230,121,121,8,7,.0017639304716904,1.398753908735055,55.19883571884409,517
broad_atlas,cd,2013,230,121,121,9,7,.0197099244319286,1.404021502673883,55.82397042020292,502
broad_atlas,cd,2014,230,121,121,9,7,.0412005905620793,1.387026391419978,54.31406833189335,513
broad_atlas,cd,2015,230,121,121,9,7,.0412005905620793,1.387026391419978,54.31406833189335,513
broad_atlas,cd,2016,230,121,121,9,7,.0429183031357702,1.387026391419978,54.31406833189335,513
broad_atlas,cd,2017,230,121,120,9,7,.0359897696417595,1.387026391419978,54.31406833189335,513
broad_atlas,cd,2018,230,121,120,9,7,.0361630588572888,1.387522442645531,54.4108495854324,513
broad_atlas,cd,2019,230,124,123,8,0,.0410768235745187,1.286667692831496,35.05220314922035,429
broad_atlas,cd,2020,230,128,127,12,0,.0811180391612614,.7465699403996746,13.12812089013487,462
broad_atlas,cd,2021,230,128,128,7,0,.1092559745206611,.8123608145787665,9.589852242319477,398
broad_atlas,cd,2022,230,128,128,12,0,.035466252972129,.8528248499763331,11.44700025387023,395
broad_atlas,cd,2023,230,128,127,11,0,.0125070879384923,.8528248499763331,48.59914670185277,484
broad_atlas,de,2007,230,0,0,0,0,,,,
broad_atlas,de,2008,230,29,29,0,0,0,.0002705576316407,2.19717462673198,277
broad_atlas,de,2009,230,81,81,0,0,-.0767049596635149,0,8.867266324245414,430
broad_atlas,de,2010,230,91,91,0,0,-.0530332683902369,.0232724591954009,6.136896094902312,421
