grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,candidate_n,complete_2012,complete_2016,complete_2023,complete_early_mid,positive_early_mid,positive_ci_early_mid,strong_early_mid,min_tau_early_mid,min_wald_early_mid,max_p_early_mid,min_effective_early_mid,min_clusters_early_mid,complete_three_horizons,positive_three_horizons,positive_ci_three_horizons,strong_three_horizons,horizon_pattern,min_tau_three_horizons,min_wald_three_horizons,max_p_three_horizons,min_effective_three_horizons,min_clusters_three_horizons,support_ok2012,estimation_rc2012,tau_cl2012,tau_bc2012,se_rb2012,p_rb2012,ci_left2012,ci_right2012,effective_n2012,clusters_left2012,clusters_right2012,robust_wald2012,support_ok2016,estimation_rc2016,tau_cl2016,tau_bc2016,se_rb2016,p_rb2016,ci_left2016,ci_right2016,effective_n2016,clusters_left2016,clusters_right2016,robust_wald2016,support_ok2023,estimation_rc2023,tau_cl2023,tau_bc2023,se_rb2023,p_rb2023,ci_left2023,ci_right2023,effective_n2023,clusters_left2023,clusters_right2023,robust_wald2023,strong_early_2012,strong_mid_2016,strong_late_2023,late_to_early_ratio
broad_atlas,province_cell_014,Province cell: APURIMAC GRAU,atlas_province_cell,0,1,65,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,8,9,,0,,,,,,,,,8,9,,0,,,,,,,,,8,9,,0,0,0,
broad_atlas,province_cell_015,Province cell: AYACUCHO CANGALLO,atlas_province_cell,0,1,127,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,6,6,,0,,,,,,,,,6,6,,0,,,,,,,,,6,6,,0,0,0,
broad_atlas,province_cell_016,Province cell: AYACUCHO HUAMANGA,atlas_province_cell,0,1,333,1,1,1,1,0,0,0,-.0203679182371445,.0023083169468263,.9616804212985709,39,13,1,0,0,0,weak at all horizons,-.4150441343793196,.0023083169468263,.9616804212985709,39,13,1,0,-.0203679182371445,.0102770870929024,.213905680037816,.9616804212985709,-.4089703418697653,.4295245160555701,40,15,13,.0023083169468263,1,0,.2833429688220296,.4156926931923104,.4086470687970518,.3090386328249446,-.3852408440377727,1.216626230422393,39,15,13,1.034779950486875,1,0,-.4150441343793196,-.5880355124107557,.7521431342053162,.4343242984322453,-2.062208966672252,.8861379418507402,43,15,13,.6112320497471508,0,0,0,
broad_atlas,province_cell_017,Province cell: AYACUCHO HUANCASANCOS,atlas_province_cell,0,1,33,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,2,3,,0,,,,,,,,,2,3,,0,,,,,,,,,2,3,,0,0,0,
broad_atlas,province_cell_018,Province cell: AYACUCHO HUANTA,atlas_province_cell,0,1,237,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,8,8,,0,,,,,,,,,8,8,,0,,,,,,,,,8,8,,0,0,0,
broad_atlas,province_cell_019,Province cell: AYACUCHO LA MAR,atlas_province_cell,0,1,295,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,7,8,,0,,,,,,,,,7,8,,0,,,,,,,,,7,8,,0,0,0,
broad_atlas,province_cell_020,Province cell: AYACUCHO LUCANAS,atlas_province_cell,0,1,88,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,8,11,,0,,,,,,,,,8,11,,0,,,,,,,,,8,11,,0,0,0,
broad_atlas,province_cell_021,Province cell: AYACUCHO PARINACOCHAS,atlas_province_cell,0,1,52,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,5,5,,0,,,,,,,,,5,5,,0,,,,,,,,,5,5,,0,0,0,
broad_atlas,province_cell_022,Province cell: AYACUCHO PAUCAR DEL SARA SARA,atlas_province_cell,0,1,18,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,5,3,,0,,,,,,,,,5,3,,0,,,,,,,,,5,3,,0,0,0,
broad_atlas,province_cell_023,Province cell: AYACUCHO SUCRE,atlas_province_cell,0,1,28,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,5,6,,0,,,,,,,,,5,6,,0,,,,,,,,,5,6,,0,0,0,
