"relative_path","classification","sha256","bytes","lines","active_lines","use_commands","save_commands","merge_commands","reclink_commands","rdrobust_commands","rddensity_commands","rdplot_commands","putexcel_commands","graph_export_commands","absolute_path_lines","raw_reference_lines","masspoints_off_lines","set_seed_commands","validation_commands"
"2 HVC - APU - LC - HCY\9. RD estimations - Censo 2017 - Individual level.do","regional specification archive","23d9156a83606161d95304fee1a1654cc3e460b420b7b299bfd96349e1aed49e","14759","381","254","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\4. RD estimations - Sisfoh 2013 - CCPP level.do","SAT branch","1bec2759a19d635835734c76bf9fa9ab93230c90eb1019606877e016dfebc78c","29432","732","494","2","0","0","0","10","0","0","42","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\5. RD estimations - Sisfoh 2013 - Household level.do","SAT branch","22851ecc8acbfb88d371a9dbc943b989a21b3d7f2558a61a910557d0ce55c543","13909","363","260","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\6. RD estimations - Sisfoh 2013 - Individual level.do","SAT branch","0a6fa5091c3541654cebc2e99d60651bcc7828beb1b099c34b57c691a6fc051a","12889","350","238","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\7. RD estimations - Censo 2017 - CCPP level.do","SAT branch","d834c6252a5ab4e42b98c8cddfecf92eadac1e1443c694e06e3f1b4c5958d13f","32034","751","585","1","0","0","0","10","0","0","46","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\8. RD estimations - Censo 2017 - Household level.do","SAT branch","46ec5773af72606f2fb8b8508ad70e2d45adff7afc9c33d0dde55347130cd322","16663","408","294","1","0","0","0","5","0","0","23","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\9. RD estimations - Censo 2017 - Individual level.do","SAT branch","a0e0fde5198ecb240565d1e098afafb56afe3090e0960b19ea385f3ad911f969","14987","387","242","1","0","0","0","5","0","0","23","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\X. Attrition Analysis - 2007 - 2013 - 2017.do","SAT branch","3be9ea1ae005bbe27df206467debb92c8ee0b5ebde8c87cd0665c57e250827fa","10785","173","114","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\SAT\XXXXXXX - check 9. RD estimations - Censo 2017 - Individual level.do","SAT branch","a0e0fde5198ecb240565d1e098afafb56afe3090e0960b19ea385f3ad911f969","14987","387","242","1","0","0","0","5","0","0","23","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\X. Attrition Analysis - 2007 - 2013 - 2017.do","regional specification archive","3be9ea1ae005bbe27df206467debb92c8ee0b5ebde8c87cd0665c57e250827fa","10785","173","114","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\4. RD estimations - Sisfoh 2013 - CCPP level.do","regional specification archive","065b84968383d32ad300b665d2fecf972b6e1b1102a1b1071ef2e2d96daab8ba","16676","422","266","1","0","0","0","6","0","0","23","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\4a. RD estimations - Sisfoh 2013 - CCPP level - Population cut.do","regional specification archive","2d18e70c8d0a50bf842ee584429618deac8f49c9e240b698dc55640db9077e16","30535","802","518","2","0","0","0","12","0","0","46","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\4b. RD estimations - Sisfoh 2013 - CCPP level - Poverty 2007.do","regional specification archive","b1f06abc9ceed730074923c0c56076fdc48475640d48c15dc9b4b75aa6d85c41","30221","799","516","2","0","0","0","12","0","0","46","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\5. RD estimations - Sisfoh 2013 - Household level.do","regional specification archive","1938ef14e39702b903950c21690a73615ead0836980e70c48acbe9f6120ecfb8","15836","413","253","1","0","0","0","6","0","0","23","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\5a. RD estimations - Sisfoh 2013 - Household level - Population cut.do","regional specification archive","7046255205d5cd0568fadab092a145de7b57ab85e1174bfc8e1b3f367e77710a","29105","776","312","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\5b. RD estimations - Sisfoh 2013 - Household level - Poverty 2007.do","regional specification archive","5537db5e1cc8d144e2b1ca00e9cfb30e212e0d07813fd43c47280f36e788e279","29079","773","312","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\6. RD estimations - Sisfoh 2013 - Individual level.do","regional specification archive","e8baeb0753c7f4a6bd204529f6d0a61b2de00273d69deebe4ebc059d8d016c5b","14265","386","228","1","0","0","0","6","0","0","23","0","1","0","0","0","0"
"3 HVC - APU - LC - HCY - SM\6a. RD estimations - Sisfoh 2013 - Individual level - Sex.do","regional specification archive","c9be249906755e4f2754f59b9f958890d2aaea31204766cc99d3ce5c601ef780","23039","651","377","2","0","0","0","10","0","0","40","0","1","0","0","0","0"
